B'g;Temp (K);B'c;Hw (kJ/kg)
0.00;3025;0.177185417;2053.640411
0.00;3050;0.177640551;2099.735362
0.00;3075;0.178185607;2148.223637
0.00;3100;0.178838796;2199.549003
0.00;3125;0.179622057;2254.238986
0.00;3150;0.180561809;2312.920192
0.00;3175;0.181689846;2376.336192
0.00;3200;0.183044423;2445.368306
0.00;3225;0.184671546;2521.059671
0.00;3250;0.186626537;2604.642988
0.00;3275;0.188975915;2697.572366
0.00;3300;0.191799682;2801.559663
0.00;3325;0.195194114;2918.615713
0.00;3350;0.199275179;3051.096769
0.00;3375;0.204182767;3201.756379
0.00;3400;0.210085974;3373.802755
0.00;3425;0.21718975;3570.961439
0.00;3450;0.225743378;3797.542683
0.00;3475;0.236051415;4058.512446
0.00;3500;0.248488001;4359.565169
0.00;3525;0.263515867;4707.195482
0.00;3550;0.281711984;5108.764722
0.00;3575;0.30380281;5572.556386
0.00;3600;0.330713667;6107.812555
0.00;3625;0.363639415;6724.74061
0.00;3650;0.404148052;7434.476447
0.00;3675;0.454336716;8248.986707
0.00;3700;0.517073875;9180.888444
0.00;3725;0.596388868;10243.16031
0.00;3750;0.698124943;11448.71466
0.00;3775;0.831089573;12809.79477
0.00;3800;1.009206486;14337.15363
0.00;3825;1.255855782;16038.95539
0.00;3850;1.613514887;17919.29983
0.00;3875;2.168139041;19976.15048
0.00;3900;3.123340572;22198.05635
0.00;3925;5.102554937;24557.52827
0.00;3950;11.31863373;26990.39935
0.00;3975;11.31863373;26990.39935
0.00;4000;11.31863373;26990.39935
B'g;Temp (K);B'c;Hw (kJ/kg)
0.02;250;0.072145544;-2809.640537
0.02;275;0.072159143;-2784.76786
0.02;300;0.072179935;-2759.678733
0.02;325;0.072208882;-2734.374534
0.02;350;0.072246505;-2708.855715
0.02;375;0.072293075;-2683.11968
0.02;400;0.072348924;-2657.158364
0.02;425;0.072414821;-2630.955239
0.02;450;0.072492369;-2604.481558
0.02;475;0.072584415;-2577.691431
0.02;500;0.072695513;-2550.515013
0.02;525;0.07283251;-2522.848578
0.02;550;0.073005372;-2494.539875
0.02;575;0.07322842;-2465.366724
0.02;600;0.073522164;-2435.006503
0.02;625;0.073915944;-2402.994049
0.02;650;0.074451533;-2368.665977
0.02;675;0.075187745;-2331.091483
0.02;700;0.076205765;-2288.994516
0.02;725;0.077614416;-2240.680913
0.02;750;0.079553837;-2183.996957
0.02;775;0.082195037;-2116.361892
0.02;800;0.085731661;-2034.933337
0.02;825;0.090359169;-1936.975212
0.02;850;0.096236308;-1820.488792
0.02;875;0.103425995;-1685.110451
0.02;900;0.11182119;-1533.131085
0.02;925;0.121079856;-1370.229777
0.02;950;0.130617234;-1205.250587
0.02;975;0.139707029;-1048.463894
0.02;1000;0.147686233;-908.6454988
0.02;1025;0.154158628;-790.5274781
0.02;1050;0.159065314;-694.2183471
0.02;1075;0.162599568;-616.6074146
0.02;1100;0.165060915;-553.3828769
0.02;1125;0.166743555;-500.4698024
0.02;1150;0.167885778;-454.6332998
0.02;1175;0.168661905;-413.5357516
0.02;1200;0.169192592;-375.5724651
0.02;1225;0.169559018;-339.6704817
0.02;1250;0.169815135;-305.1203795
0.02;1275;0.16999672;-271.4540628
0.02;1300;0.170127591;-238.3615922
0.02;1325;0.170223725;-205.6363434
0.02;1350;0.170295955;-173.1393409
0.02;1375;0.170351718;-140.7761485
0.02;1400;0.170396193;-108.4818623
0.02;1425;0.170433044;-76.21130918
0.02;1450;0.170464914;-43.93259519
0.02;1475;0.170493748;-11.62281894
0.02;1500;0.170521014;20.73480385
0.02;1525;0.170547849;53.15288961
0.02;1550;0.170575161;85.64122313
0.02;1575;0.170603698;118.2076791
0.02;1600;0.170634097;150.8588765
0.02;1625;0.170666919;183.6006308
0.02;1650;0.17070267;216.4382856
0.02;1675;0.170741819;249.3769511
0.02;1700;0.17078481;282.4216778
0.02;1725;0.17083207;315.5775876
0.02;1750;0.170884017;348.8499713
0.02;1775;0.170941058;382.244358
0.02;1800;0.171003596;415.7665795
0.02;1825;0.171072031;449.4228047
0.02;1850;0.171146759;483.2195759
0.02;1875;0.171228173;517.1638286
0.02;1900;0.17131666;551.2629122
0.02;1925;0.171412604;585.5245969
0.02;1950;0.171516379;619.9570651
0.02;1975;0.171628354;654.5689363
0.02;2000;0.171748884;689.3692303
0.02;2025;0.171878311;724.3673676
0.02;2050;0.172016962;759.5731422
0.02;2075;0.172165146;794.9967075
0.02;2100;0.172323146;830.6485222
0.02;2125;0.172491226;866.5393411
0.02;2150;0.172669617;902.6801469
0.02;2175;0.172858522;939.0821172
0.02;2200;0.173058106;975.7565435
0.02;2225;0.173268498;1012.714818
0.02;2250;0.173489786;1049.968324
0.02;2275;0.173722014;1087.528405
0.02;2300;0.173965177;1125.406228
0.02;2325;0.174219222;1163.612828
0.02;2350;0.174484047;1202.158951
0.02;2375;0.174759496;1241.055015
0.02;2400;0.175045361;1280.311066
0.02;2425;0.175341381;1319.93673
0.02;2450;0.175647249;1359.941205
0.02;2475;0.175962607;1400.333187
0.02;2500;0.176287061;1441.121033
0.02;2525;0.176620178;1482.312699
0.02;2550;0.176961505;1523.915908
0.02;2575;0.177310577;1565.938308
0.02;2600;0.177666933;1608.387707
0.02;2625;0.178030137;1651.272462
0.02;2650;0.178399801;1694.601624
0.02;2675;0.178775619;1738.385956
0.02;2700;0.179157399;1782.638247
0.02;2725;0.179545111;1827.374285
0.02;2750;0.179938932;1872.613913
0.02;2775;0.180339313;1918.382316
0.02;2800;0.180747053;1964.711586
0.02;2825;0.181163381;2011.642599
0.02;2850;0.181590063;2059.227272
0.02;2875;0.182029521;2107.53125
0.02;2900;0.182484975;2156.637099
0.02;2925;0.182960617;2206.648086
0.02;2950;0.183461805;2257.692638
0.02;2975;0.183995301;2309.929599
0.02;3000;0.184569555;2363.554404
0.02;3025;0.185195034;2418.806324
0.02;3050;0.185884615;2475.976947
0.02;3075;0.186654056;2535.420093
0.02;3100;0.187522553;2597.563386
0.02;3125;0.188513405;2662.921732
0.02;3150;0.189654805;2732.112987
0.02;3175;0.190980791;2805.876124
0.02;3200;0.192532377;2885.092246
0.02;3225;0.194358924;2970.808809
0.02;3250;0.196519776;3064.267442
0.02;3275;0.199086254;3166.935753
0.02;3300;0.202144061;3280.543497
0.02;3325;0.205796234;3407.123462
0.02;3350;0.210166761;3549.057312
0.02;3375;0.215405065;3709.126535
0.02;3400;0.221691601;3890.56841
0.02;3425;0.229244916;4097.136626
0.02;3450;0.238330651;4333.165707
0.02;3475;0.249273169;4603.637847
0.02;3500;0.26247077;4914.24986
0.02;3525;0.278415898;5271.476902
0.02;3550;0.297722435;5682.628143
0.02;3575;0.321163198;6155.887765
0.02;3600;0.349722484;6700.332379
0.02;3625;0.384671291;7325.913271
0.02;3650;0.427677586;8043.388724
0.02;3675;0.480972366;8864.188248
0.02;3700;0.547607468;9800.186937
0.02;3725;0.631870245;10863.3647
0.02;3750;0.739978731;12065.32197
0.02;3775;0.881306111;13416.62031
0.02;3800;1.070671259;14925.91189
0.02;3825;1.33295751;16598.81032
0.02;3850;1.713370259;18436.42043
0.02;3875;2.303367867;20433.33516
0.02;3900;3.319516231;22574.54229
0.02;3925;5.424418816;24829.25582
0.02;3950;12.02704998;27131.77735
0.02;3975;12.02704998;27131.77735
0.02;4000;12.02704998;27131.77735
B'g;Temp (K);B'c;Hw (kJ/kg)
0.04;250;0.056895625;-2937.088359
0.04;275;0.056953447;-2911.505045
0.04;300;0.057041293;-2885.642971
0.04;325;0.057162386;-2859.494911
0.04;350;0.057317441;-2833.058169
0.04;375;0.057505246;-2806.330095
0.04;400;0.057723628;-2779.302041
0.04;425;0.057970514;-2751.952376
0.04;450;0.058244879;-2724.239159
0.04;475;0.058547484;-2696.092672
0.04;500;0.058881431;-2667.407512
0.04;525;0.05925266;-2638.033387
0.04;550;0.059670605;-2607.763174
0.04;575;0.060149265;-2576.316205
0.04;600;0.060708964;-2543.314072
0.04;625;0.061379061;-2508.245612
0.04;650;0.062201734;-2470.41774
0.04;675;0.063236806;-2428.890468
0.04;700;0.064567235;-2382.399364
0.04;725;0.066304461;-2329.278105
0.04;750;0.068592081;-2267.408188
0.04;775;0.071605366;-2194.240954
0.04;800;0.075542883;-2106.955235
0.04;825;0.080605224;-2002.825229
0.04;850;0.086955413;-1879.862761
0.04;875;0.094657824;-1737.737436
0.04;900;0.103601277;-1578.823757
0.04;925;0.113431204;-1408.955061
0.04;950;0.123540874;-1237.196972
0.04;975;0.133175302;-1074.072111
0.04;1000;0.141643017;-928.5784173
0.04;1025;0.148527796;-805.5834569
0.04;1050;0.153763905;-705.2203473
0.04;1075;0.157549854;-624.3085091
0.04;1100;0.160197516;-558.4128983
0.04;1125;0.162015426;-503.3224658
0.04;1150;0.163254956;-455.6790832
0.04;1175;0.164100976;-413.045135
0.04;1200;0.164682086;-373.739772
0.04;1225;0.165085218;-336.6340709
0.04;1250;0.165368416;-300.978223
0.04;1275;0.165570342;-266.2751809
0.04;1300;0.165716851;-232.1942248
0.04;1325;0.165825372;-198.5137099
0.04;1350;0.165907781;-165.0836741
0.04;1375;0.165972275;-131.8015134
0.04;1400;0.166024603;-98.59612417
0.04;1425;0.166068864;-65.4175059
0.04;1450;0.166108045;-32.22989075
0.04;1475;0.166144368;0.992839045
0.04;1500;0.166179538;34.27023856
0.04;1525;0.166214898;67.61740251
0.04;1550;0.166251541;101.0464129
0.04;1575;0.166290392;134.5673472
0.04;1600;0.166332253;168.1889903
0.04;1625;0.166377848;201.9193399
0.04;1650;0.166427847;235.7659787
0.04;1675;0.166482882;269.736338
0.04;1700;0.166543564;303.8379065
0.04;1725;0.166610491;338.0783774
0.04;1750;0.166684252;372.4657663
0.04;1775;0.166765435;407.0085071
0.04;1800;0.166854628;441.7155197
0.04;1825;0.166952421;476.5962707
0.04;1850;0.167059405;511.6608186
0.04;1875;0.167176174;546.9198511
0.04;1900;0.167303323;582.3847133
0.04;1925;0.167441446;618.0674294
0.04;1950;0.167591137;653.9807163
0.04;1975;0.167752985;690.137992
0.04;2000;0.167927574;726.5533758
0.04;2025;0.168115477;763.2416818
0.04;2050;0.168317256;800.2184091
0.04;2075;0.168533457;837.4997167
0.04;2100;0.168764606;875.1023988
0.04;2125;0.169011208;913.0438476
0.04;2150;0.169273739;951.3420109
0.04;2175;0.169552644;990.0153391
0.04;2200;0.169848331;1029.082726
0.04;2225;0.17016117;1068.563443
0.04;2250;0.170491484;1108.47706
0.04;2275;0.170839549;1148.84337
0.04;2300;0.171205585;1189.682298
0.04;2325;0.171589756;1231.013808
0.04;2350;0.171992163;1272.857817
0.04;2375;0.172412843;1315.234092
0.04;2400;0.172851767;1358.162162
0.04;2425;0.173308833;1401.661233
0.04;2450;0.173783873;1445.750112
0.04;2475;0.174276648;1490.447146
0.04;2500;0.174786849;1535.770184
0.04;2525;0.175314109;1581.736569
0.04;2550;0.175858001;1628.363165
0.04;2575;0.17641805;1675.666436
0.04;2600;0.17699375;1723.662584
0.04;2625;0.177584573;1772.367764
0.04;2650;0.178189998;1821.798392
0.04;2675;0.178809535;1871.971566
0.04;2700;0.179442757;1922.905605
0.04;2725;0.180089345;1974.620811
0.04;2750;0.180749139;2027.140355
0.04;2775;0.181422198;2080.491413
0.04;2800;0.182108875;2134.706649
0.04;2825;0.182809911;2189.825917
0.04;2850;0.183526534;2245.898422
0.04;2875;0.184260599;2302.985309
0.04;2900;0.185014732;2361.162784
0.04;2925;0.185792517;2420.52585
0.04;2950;0.18659871;2481.192768
0.04;2975;0.187439502;2543.310357
0.04;3000;0.188322815;2607.060256
0.04;3025;0.189258675;2672.666327
0.04;3050;0.190259631;2740.403348
0.04;3075;0.191341273;2810.607201
0.04;3100;0.192522829;2883.686786
0.04;3125;0.193827891;2960.137896
0.04;3150;0.195285264;3040.559331
0.04;3175;0.196929988;3125.671558
0.04;3200;0.198804551;3216.338237
0.04;3225;0.200960351;3313.590951
0.04;3250;0.203459439;3418.657513
0.04;3275;0.206376638;3532.994189
0.04;3300;0.209802101;3658.322168
0.04;3325;0.21384443;3796.668563
0.04;3350;0.218634515;3950.412121
0.04;3375;0.224330275;4122.333662
0.04;3400;0.231122584;4315.67103
0.04;3425;0.239242742;4534.178002
0.04;3450;0.248972;4782.186081
0.04;3475;0.260653873;5064.667448
0.04;3500;0.274710249;5387.296406
0.04;3525;0.291662794;5756.505472
0.04;3550;0.312161867;6179.53071
0.04;3575;0.337026258;6664.438988
0.04;3600;0.367298884;7220.127492
0.04;3625;0.404326532;7856.283137
0.04;3650;0.449876772;8583.286459
0.04;3675;0.506314042;9412.041426
0.04;3700;0.576873044;10353.7096
0.04;3725;0.666098496;11419.32455
0.04;3750;0.780582353;12619.26076
0.04;3775;0.930262289;13962.53021
0.04;3800;1.130850523;15455.87808
0.04;3825;1.408730781;17102.64112
0.04;3850;1.811831452;18901.30199
0.04;3875;2.437103877;20843.57152
0.04;3900;3.514041589;22911.48628
0.04;3925;5.744322388;25071.66772
0.04;3950;12.7324142;27257.5175
0.04;3975;12.7324142;27257.5175
0.04;4000;12.7324142;27257.5175
B'g;Temp (K);B'c;Hw (kJ/kg)
0.07;250;0.034093469;-3125.955768
0.07;275;0.034288828;-3099.059464
0.07;300;0.034582328;-3071.671304
0.07;325;0.034980477;-3043.772595
0.07;350;0.035479569;-3015.373193
0.07;375;0.036068108;-2986.498679
0.07;400;0.036730476;-2957.172826
0.07;425;0.037450503;-2927.399776
0.07;450;0.038214126;-2897.148829
0.07;475;0.039010927;-2866.342789
0.07;500;0.039834792;-2834.849274
0.07;525;0.04068416;-2802.473444
0.07;550;0.041562406;-2768.950056
0.07;575;0.042478868;-2733.932241
0.07;600;0.043450897;-2696.973778
0.07;625;0.04450713;-2657.500944
0.07;650;0.045691963;-2614.769772
0.07;675;0.047070871;-2567.805973
0.07;700;0.048735998;-2515.329345
0.07;725;0.050811042;-2455.674089
0.07;750;0.05345403;-2386.731899
0.07;775;0.056855681;-2305.964916
0.07;800;0.061229812;-2210.556477
0.07;825;0.066790708;-2097.780573
0.07;850;0.073711674;-1965.659706
0.07;875;0.082061165;-1813.91553
0.07;900;0.091722119;-1645.05372
0.07;925;0.102320418;-1465.144903
0.07;950;0.113214966;-1283.59066
0.07;975;0.123606053;-1111.292266
0.07;1000;0.132757778;-957.5784382
0.07;1025;0.140222246;-827.5170547
0.07;1050;0.145921913;-721.2775528
0.07;1075;0.150061639;-635.5778425
0.07;1100;0.152970432;-565.8045303
0.07;1125;0.154977106;-507.5501422
0.07;1150;0.156351646;-457.2789823
0.07;1175;0.157293953;-412.4094225
0.07;1200;0.157943932;-371.1509185
0.07;1225;0.158396687;-332.2938988
0.07;1250;0.158716049;-295.0303284
0.07;1275;0.158944746;-258.821414
0.07;1300;0.159111487;-223.30649
0.07;1325;0.159235716;-188.2423036
0.07;1350;0.159330745;-153.463143
0.07;1375;0.159405813;-118.8547647
0.07;1400;0.159467431;-84.33731047
0.07;1425;0.159520277;-49.85405204
0.07;1450;0.15956778;-15.36391697
0.07;1475;0.159612522;19.16352158
0.07;1500;0.159656501;53.75143748
0.07;1525;0.15970131;88.41807448
0.07;1550;0.15974827;123.1783546
0.07;1575;0.15979851;158.0450068
0.07;1600;0.159853029;193.0293675
0.07;1625;0.15991274;228.141958
0.07;1650;0.1599785;263.3929068
0.07;1675;0.160051132;298.7922633
0.07;1700;0.160131435;334.3502354
0.07;1725;0.160220204;370.0773729
0.07;1750;0.160318228;405.9847115
0.07;1775;0.160426302;442.0838876
0.07;1800;0.160545228;478.3872332
0.07;1825;0.160675815;514.9078524
0.07;1850;0.160818882;551.6596862
0.07;1875;0.160975258;588.6575665
0.07;1900;0.161145781;625.9172605
0.07;1925;0.161331296;663.4555068
0.07;1950;0.161532655;701.2900436
0.07;1975;0.161750711;739.4396297
0.07;2000;0.161986319;777.9240568
0.07;2025;0.162240332;816.7641529
0.07;2050;0.162513595;855.9817828
0.07;2075;0.162806946;895.5998299
0.07;2100;0.163121206;935.6421776
0.07;2125;0.163457178;976.1336773
0.07;2150;0.163815643;1017.100107
0.07;2175;0.164197351;1058.568118
0.07;2200;0.164603019;1100.565176
0.07;2225;0.165033324;1143.119485
0.07;2250;0.165488896;1186.25991
0.07;2275;0.165970317;1230.015879
0.07;2300;0.166478108;1274.417283
0.07;2325;0.167012728;1319.494372
0.07;2350;0.16757457;1365.277635
0.07;2375;0.168163949;1411.797681
0.07;2400;0.168781103;1459.08512
0.07;2425;0.169426188;1507.170441
0.07;2450;0.170099273;1556.083902
0.07;2475;0.17080034;1605.85542
0.07;2500;0.171529282;1656.514493
0.07;2525;0.172285904;1708.090128
0.07;2550;0.173069929;1760.610818
0.07;2575;0.173881004;1814.10455
0.07;2600;0.174718709;1868.598875
0.07;2625;0.175582569;1924.121047
0.07;2650;0.17647208;1980.698242
0.07;2675;0.177386726;2038.3579
0.07;2700;0.178326017;2097.128179
0.07;2725;0.179289526;2157.038584
0.07;2750;0.180276941;2218.120781
0.07;2775;0.181288129;2280.40964
0.07;2800;0.182323208;2343.944561
0.07;2825;0.183382644;2408.771113
0.07;2850;0.184467364;2474.94308
0.07;2875;0.185578887;2542.524941
0.07;2900;0.18671949;2611.594907
0.07;2925;0.187892407;2682.248578
0.07;2950;0.189102053;2754.60334
0.07;2975;0.190354313;2828.803622
0.07;3000;0.191656865;2905.027159
0.07;3025;0.193019579;2983.492386
0.07;3050;0.194454987;3064.467223
0.07;3075;0.195978832;3148.279337
0.07;3100;0.197610741;3235.328215
0.07;3125;0.199375002;3326.099227
0.07;3150;0.201301505;3421.179995
0.07;3175;0.203426851;3521.279327
0.07;3200;0.205795688;3627.249071
0.07;3225;0.208462296;3740.10918
0.07;3250;0.2114925;3861.076336
0.07;3275;0.214965967;3991.596439
0.07;3300;0.218978995;4133.381234
0.07;3325;0.223647907;4288.449261
0.07;3350;0.229113215;4459.171208
0.07;3375;0.23554477;4648.319525
0.07;3400;0.243148186;4859.121893
0.07;3425;0.252172944;5095.317698
0.07;3450;0.262922723;5361.216131
0.07;3475;0.27576874;5661.753711
0.07;3500;0.291167215;6002.548045
0.07;3525;0.309682581;6389.943287
0.07;3550;0.332018833;6831.041118
0.07;3575;0.359062624;7333.709021
0.07;3600;0.391943682;7906.555279
0.07;3625;0.432121315;8558.85743
0.07;3650;0.481511274;9300.428173
0.07;3675;0.54267683;10141.40008
0.07;3700;0.619125497;11091.90842
0.07;3725;0.715786315;12161.65037
0.07;3750;0.839810007;13359.29945
0.07;3775;1.001978277;14691.75576
0.07;3800;1.219339652;16163.2145
0.07;3825;1.520522912;17774.03154
0.07;3850;1.957531683;19519.33966
0.07;3875;2.635538555;21387.27652
0.07;3900;3.8033831;23356.36577
0.07;3925;6.221193618;25390.36018
0.07;3950;13.78561368;27422.1659
0.07;3975;13.78561368;27422.1659
0.07;4000;13.78561368;27422.1659
B'g;Temp (K);B'c;Hw (kJ/kg)
0.10;250;0.011407848;-3311.962253
0.10;275;0.011851263;-3283.336749
0.10;300;0.012507279;-3253.829946
0.10;325;0.01337884;-3223.43844
0.10;350;0.014443647;-3192.23816
0.10;375;0.015662791;-3160.346665
0.10;400;0.016991311;-3127.878782
0.10;425;0.018386697;-3094.909581
0.10;450;0.019813765;-3061.450147
0.10;475;0.021246323;-3027.434934
0.10;500;0.022666865;-2992.716634
0.10;525;0.024065655;-2957.064285
0.10;550;0.02544025;-2920.160993
0.10;575;0.026796201;-2881.598081
0.10;600;0.028149327;-2840.862361
0.10;625;0.029529629;-2797.312712
0.10;650;0.030986548;-2750.14184
0.10;675;0.032594924;-2698.320182
0.10;700;0.034460736;-2640.52309
0.10;725;0.036725496;-2575.051675
0.10;750;0.03956785;-2499.773542
0.10;775;0.043200321;-2412.131356
0.10;800;0.047857871;-2309.290376
0.10;825;0.053773343;-2188.51115
0.10;850;0.061133789;-2047.822315
0.10;875;0.070013731;-1886.999295
0.10;900;0.080290902;-1708.683645
0.10;925;0.091571299;-1519.187768
0.10;950;0.103178461;-1328.251136
0.10;975;0.114266583;-1147.152196
0.10;1000;0.124053835;-985.5465037
0.10;1025;0.132059157;-848.6983882
0.10;1050;0.138191732;-736.8128097
0.10;1075;0.142661347;-646.5098465
0.10;1100;0.145812793;-573.0049297
0.10;1125;0.147993971;-511.7026478
0.10;1150;0.149492484;-458.8976953
0.10;1175;0.150522478;-411.8709598
0.10;1200;0.151234559;-368.7271503
0.10;1225;0.151731546;-328.1796312
0.10;1250;0.152082715;-289.3646808
0.10;1275;0.152334601;-251.7035483
0.10;1300;0.152518569;-214.8068913
0.10;1325;0.152655926;-178.4107664
0.10;1350;0.152761302;-142.3343979
0.10;1375;0.152844879;-106.4524371
0.10;1400;0.152913857;-70.67671073
0.10;1425;0.152973423;-34.94414519
0.10;1450;0.1530274;0.791285424
0.10;1475;0.153078674;36.56397878
0.10;1500;0.153129494;72.40038958
0.10;1525;0.153181668;108.3215636
0.10;1550;0.153236701;144.3449009
0.10;1575;0.153295894;180.4853981
0.10;1600;0.153360405;216.7565357
0.10;1625;0.153431304;253.1709212
0.10;1650;0.153509601;289.7407631
0.10;1675;0.153596271;326.4782258
0.10;1700;0.153692273;363.3957012
0.10;1725;0.153798559;400.50602
0.10;1750;0.153916086;437.8226205
0.10;1775;0.154045819;475.359685
0.10;1800;0.154188736;513.1322528
0.10;1825;0.154345831;551.1563156
0.10;1850;0.154518114;589.4488976
0.10;1875;0.15470661;628.0281243
0.10;1900;0.154912362;666.9132812
0.10;1925;0.155136429;706.1248631
0.10;1950;0.155379878;745.684614
0.10;1975;0.155643792;785.6155594
0.10;2000;0.155929257;825.9420288
0.10;2025;0.156237366;866.6896687
0.10;2050;0.156569211;907.8854505
0.10;2075;0.15692588;949.5576593
0.10;2100;0.157308454;991.7358808
0.10;2125;0.157717999;1034.450973
0.10;2150;0.158155562;1077.735028
0.10;2175;0.158622164;1121.621318
0.10;2200;0.159118796;1166.144236
0.10;2225;0.159646413;1211.339218
0.10;2250;0.160205924;1257.242654
0.10;2275;0.160798185;1303.891793
0.10;2300;0.161423997;1351.324625
0.10;2325;0.162084095;1399.579767
0.10;2350;0.16277914;1448.696329
0.10;2375;0.163509717;1498.713779
0.10;2400;0.164276322;1549.671799
0.10;2425;0.165079364;1601.610147
0.10;2450;0.165919153;1654.568517
0.10;2475;0.166795903;1708.586404
0.10;2500;0.167709721;1763.702988
0.10;2525;0.168660617;1819.957041
0.10;2550;0.169648496;1877.386853
0.10;2575;0.17067317;1936.030212
0.10;2600;0.171734363;1995.924425
0.10;2625;0.172831721;2057.106414
0.10;2650;0.173964837;2119.61289
0.10;2675;0.175133267;2183.480641
0.10;2700;0.176336565;2248.74694
0.10;2725;0.177574323;2315.450116
0.10;2750;0.17884622;2383.630314
0.10;2775;0.180152088;2453.330486
0.10;2800;0.181491989;2524.597654
0.10;2825;0.18286631;2597.484504
0.10;2850;0.184275883;2672.051366
0.10;2875;0.185722123;2748.368653
0.10;2900;0.187207202;2826.519846
0.10;2925;0.188734259;2906.605113
0.10;2950;0.190307642;2988.745669
0.10;2975;0.191933205;3073.089014
0.10;3000;0.193618669;3159.815174
0.10;3025;0.195374035;3249.144124
0.10;3050;0.197212097;3341.344553
0.10;3075;0.199149031;3436.744199
0.10;3100;0.201205117;3535.741963
0.10;3125;0.203405577;3638.822058
0.10;3150;0.205781595;3746.570464
0.10;3175;0.208371509;3859.693984
0.10;3200;0.211222254;3979.042196
0.10;3225;0.214391075;4105.632628
